CustomerID,PostalCode,Occupation,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,YearlyIncome,BikeBuyer,AvgMonthSpend
21173,2500,Clerical,1,3,0,81916,1,50.97
13249,V9B 2C3,Clerical,1,2,1,81076,1,53.11
29350,91791,Clerical,0,3,0,86387,1,54.08
13503,L4 4HB,Skilled Manual,1,2,1,61481,1,56.93
22803,59368,Skilled Manual,1,1,0,51804,1,55.41
22092,98403,Skilled Manual,1,2,2,61944,1,49.31
11229,94063,Manual,1,1,0,34919,0,56.01
24179,2060,Skilled Manual,0,1,0,61832,1,49.29
12127,59140,Clerical,1,0,0,83834,1,50.05
19903,57000,Manual,0,1,0,26880,0,54.15
25924,94063,Clerical,0,1,0,77258,0,54.02
23033,90712,Management,1,3,0,102698,0,58.29
20029,90012,Management,1,1,1,108198,1,52.66
22031,2500,Professional,1,2,0,133762,0,52.5
23770,SL67RJ,Manual,0,1,0,30526,0,49.61
23770,SL67RJ,Manual,0,1,0,30526,0,49.61
23737,90210,Skilled Manual,1,2,0,56353,1,49.04
17127,98371,Clerical,1,3,1,79019,1,50.48
28130,V3A 4R2,Skilled Manual,0,2,0,55387,1,51.0
28455,64283,Management,1,2,0,113276,0,58.69
20161,94310,Management,1,1,0,109259,0,52.3
21325,92020,Clerical,1,0,0,83845,0,50.38
12128,12171,Skilled Manual,1,0,2,59527,1,53.22
23679,V8P,Management,1,1,0,108360,0,51.88
26799,92118,Clerical,0,1,0,87504,0,49.72
15726,4655,Skilled Manual,0,0,0,55461,1,48.76
15473,92118,Professional,1,2,0,137464,1,52.03
28685,93700,Clerical,1,2,0,87676,1,49.89
12302,60323,Management,1,3,0,104187,1,51.15
23523,5023,Clerical,0,1,0,78222,1,53.53
18713,2300,Clerical,1,2,0,77383,0,50.59
24082,91420,Skilled Manual,1,1,2,60700,1,49.29
27886,93500,Manual,0,0,0,30913,0,49.0
21711,91791,Clerical,1,2,0,86952,1,54.71
22366,V0,Skilled Manual,1,2,1,58567,1,55.64
15010,94704,Clerical,0,0,0,77478,0,50.55
22296,91945,Clerical,1,2,0,78406,0,50.16
23237,34117,Clerical,0,1,0,85318,0,51.02
13832,92400,Skilled Manual,0,0,0,52928,1,52.17
26026,4810,Clerical,0,2,0,79224,1,52.31
17813,WA1 4SY,Manual,0,0,0,33076,1,53.13
26369,92310,Skilled Manual,1,1,0,56641,0,48.89
18824,92806,Manual,1,0,0,27203,0,52.46
21064,80610,Clerical,0,3,0,77098,0,50.21
28532,75008,Management,1,3,2,103200,1,53.97
16183,2065,Skilled Manual,0,2,0,53784,0,50.85
25700,93400,Manual,0,1,0,25826,0,47.53
21746,90712,Manual,1,0,1,30925,1,50.48
26560,2300,Manual,1,1,1,30288,0,50.57
16988,94611,Manual,0,0,0,34685,1,48.1
18562,94947,Skilled Manual,0,1,1,58213,1,51.99
14996,10210,Management,0,0,0,108342,1,51.43
26741,1597,Professional,1,2,1,130385,1,55.52
19490,75019,Skilled Manual,0,2,0,58227,1,50.76
12720,92150,Skilled Manual,0,1,0,52156,1,47.68
14050,6105,Professional,1,2,0,131458,1,57.1
11926,97045,Manual,0,1,0,33510,0,46.25
28023,97330,Skilled Manual,1,1,0,56785,0,51.34
22541,33041,Skilled Manual,0,1,0,58201,0,51.29
23192,94303,Clerical,1,2,0,82359,1,49.64
23192,94303,Clerical,1,2,0,82359,1,49.64
24957,90712,Skilled Manual,1,2,1,55654,1,50.98
11867,91950,Manual,1,1,1,33167,0,58.85
11929,2065,Management,1,3,0,107883,1,52.81
27994,97005,Clerical,1,1,2,80056,1,53.16
21068,PE17,Skilled Manual,0,2,0,54577,1,49.8
26332,97355,Manual,0,0,1,36070,1,59.05
20232,7001,Skilled Manual,1,2,1,54049,1,54.19
15029,2500,Management,0,1,0,112726,0,55.8
28907,TY31,Manual,1,1,0,29749,0,48.95
11887,92118,Skilled Manual,1,2,2,56820,1,55.26
16809,94063,Management,1,3,0,102647,1,51.75
18033,42651,Clerical,0,2,0,82258,1,51.48
27605,98284,Skilled Manual,1,1,2,54200,1,55.34
14106,94611,Skilled Manual,0,2,0,60908,1,51.97
29293,4171,Management,1,2,0,105007,1,54.5
17669,98284,Manual,1,0,1,32319,1,48.12
23540,4217,Skilled Manual,0,1,0,52311,0,57.27
19710,V6B 3P7,Clerical,1,2,0,82851,0,54.25
21495,98501,Manual,1,1,2,29111,0,53.22
